contractid,customerid,activation_date,date_of_activity,sum_paid_to_date,arrears
1,12,2018/06/01 10:08,2019/10/26 00:00,458228,0
1,12,2018/06/01 10:08,2019/10/27 00:00,458228,0
1,12,2018/06/01 10:08,2019/10/28 00:00,458228,0
1,12,2018/06/01 10:08,2019/10/29 00:00,458228,0
1,12,2018/06/01 10:08,2019/10/30 00:00,458228,0
1,12,2018/06/01 10:08,2019/10/31 00:00,458228,0
1,12,2018/06/01 10:08,2019/11/01 00:00,458228,0
1,12,2018/06/01 10:08,2019/11/02 00:00,458228,0
1,12,2018/06/01 10:08,2019/11/03 00:00,458228,0
1,12,2018/06/01 10:08,2019/11/04 00:00,500728,0
1,12,2018/06/01 10:08,2019/11/05 00:00,500728,0
1,12,2018/06/01 10:08,2019/11/21 00:00,500728,0
1,12,2018/06/01 10:08,2019/11/24 00:00,500728,0
3,4,2018/06/21 11:25,2019/07/24 00:00,325500,36893.44
3,4,2018/06/21 11:25,2019/08/01 00:00,349500,19188.52
3,4,2018/06/21 11:25,2019/08/02 00:00,349500,19975.41
3,4,2018/06/21 11:25,2019/08/03 00:00,349500,20762.3
3,4,2018/06/21 11:25,2019/08/04 00:00,349500,21549.18
3,4,2018/06/21 11:25,2019/08/05 00:00,349500,22336.07
3,4,2018/06/21 11:25,2019/08/06 00:00,349500,23122.95
3,4,2018/06/21 11:25,2019/08/07 00:00,349500,23909.84
3,4,2018/06/21 11:25,2019/08/08 00:00,349500,24696.72
3,4,2018/06/21 11:25,2019/08/09 00:00,349500,25483.61
3,4,2018/06/21 11:25,2019/08/10 00:00,349500,26270.49
3,4,2018/06/21 11:25,2019/08/11 00:00,349500,27057.38
3,4,2018/06/21 11:25,2019/08/12 00:00,349500,27844.26
3,4,2018/06/21 11:25,2019/08/13 00:00,349500,28631.15
3,4,2018/06/21 11:25,2019/08/14 00:00,349500,29418.03
3,4,2018/06/21 11:25,2019/08/15 00:00,349500,30204.92
3,4,2018/06/21 11:25,2019/08/16 00:00,349500,30991.8
3,4,2018/06/21 11:25,2019/08/17 00:00,349500,31778.69
3,4,2018/06/21 11:25,2019/08/19 00:00,349500,33352.46
3,4,2018/06/21 11:25,2019/08/20 00:00,349500,34139.34
3,4,2018/06/21 11:25,2019/08/21 00:00,349500,34926.23
3,4,2018/06/21 11:25,2019/08/22 00:00,349500,35713.11
3,4,2018/06/21 11:25,2019/08/23 00:00,349500,36500
3,4,2018/06/21 11:25,2019/08/26 00:00,349500,38860.66
3,4,2018/06/21 11:25,2019/08/27 00:00,349500,39647.54
3,4,2018/06/21 11:25,2019/08/28 00:00,349500,40434.43
3,4,2018/06/21 11:25,2019/08/29 00:00,349500,41221.31
3,4,2018/06/21 11:25,2019/08/30 00:00,349500,42008.2
3,4,2018/06/21 11:25,2019/08/31 00:00,349500,42795.08
3,4,2018/06/21 11:25,2019/09/01 00:00,349500,43581.97
3,4,2018/06/21 11:25,2019/09/02 00:00,359500,34368.85
3,4,2018/06/21 11:25,2019/09/03 00:00,359500,35155.74
3,4,2018/06/21 11:25,2019/09/04 00:00,359500,35942.62
3,4,2018/06/21 11:25,2019/09/05 00:00,359500,36729.51
3,4,2018/06/21 11:25,2019/09/06 00:00,359500,37516.39
3,4,2018/06/21 11:25,2019/09/07 00:00,359500,38303.28
3,4,2018/06/21 11:25,2019/09/08 00:00,359500,39090.16
3,4,2018/06/21 11:25,2019/09/09 00:00,359500,39877.05
3,4,2018/06/21 11:25,2019/09/10 00:00,359500,40663.93
3,4,2018/06/21 11:25,2019/09/12 00:00,359500,42237.7
3,4,2018/06/21 11:25,2019/09/13 00:00,359500,43024.59
3,4,2018/06/21 11:25,2019/09/14 00:00,359500,43811.48
3,4,2018/06/21 11:25,2019/09/15 00:00,359500,44598.36
3,4,2018/06/21 11:25,2019/09/18 00:00,373500,32959.02
3,4,2018/06/21 11:25,2019/09/19 00:00,373500,33745.9
3,4,2018/06/21 11:25,2019/09/20 00:00,373500,34532.79
3,4,2018/06/21 11:25,2019/09/21 00:00,373500,35319.67
3,4,2018/06/21 11:25,2019/09/22 00:00,373500,36106.56
3,4,2018/06/21 11:25,2019/09/23 00:00,373500,36893.44
3,4,2018/06/21 11:25,2019/09/24 00:00,373500,37680.33
3,4,2018/06/21 11:25,2019/09/25 00:00,373500,38467.21
3,4,2018/06/21 11:25,2019/09/26 00:00,373500,39254.1
3,4,2018/06/21 11:25,2019/09/27 00:00,373500,40040.98
3,4,2018/06/21 11:25,2019/09/28 00:00,373500,40827.87
3,4,2018/06/21 11:25,2019/09/29 00:00,373500,41614.75
3,4,2018/06/21 11:25,2019/09/30 00:00,373500,42401.64
3,4,2018/06/21 11:25,2019/10/01 00:00,373500,43188.52
3,4,2018/06/21 11:25,2019/10/02 00:00,373500,43975.41
3,4,2018/06/21 11:25,2019/10/03 00:00,373500,44762.3
3,4,2018/06/21 11:25,2019/10/04 00:00,383500,35549.18
3,4,2018/06/21 11:25,2019/10/05 00:00,383500,36336.07
3,4,2018/06/21 11:25,2019/10/06 00:00,383500,37122.95
3,4,2018/06/21 11:25,2019/10/07 00:00,383500,37909.84
3,4,2018/06/21 11:25,2019/10/08 00:00,383500,38696.72
3,4,2018/06/21 11:25,2019/10/09 00:00,383500,39483.61
3,4,2018/06/21 11:25,2019/10/10 00:00,383500,40270.49
3,4,2018/06/21 11:25,2019/10/11 00:00,383500,41057.38
3,4,2018/06/21 11:25,2019/10/12 00:00,383500,41844.26
3,4,2018/06/21 11:25,2019/10/13 00:00,383500,42631.15
3,4,2018/06/21 11:25,2019/10/14 00:00,383500,43418.03
3,4,2018/06/21 11:25,2019/10/15 00:00,383500,44204.92
3,4,2018/06/21 11:25,2019/10/16 00:00,383500,44991.8
3,4,2018/06/21 11:25,2019/10/17 00:00,383500,45778.69
3,4,2018/06/21 11:25,2019/10/18 00:00,383500,46565.57
3,4,2018/06/21 11:25,2019/10/19 00:00,397500,33352.46
3,4,2018/06/21 11:25,2019/10/20 00:00,397500,34139.34
3,4,2018/06/21 11:25,2019/10/21 00:00,397500,34926.23
3,4,2018/06/21 11:25,2019/10/22 00:00,397500,35713.11
3,4,2018/06/21 11:25,2019/10/23 00:00,397500,36500
3,4,2018/06/21 11:25,2019/10/24 00:00,397500,37286.89
3,4,2018/06/21 11:25,2019/10/25 00:00,397500,38073.77
3,4,2018/06/21 11:25,2019/10/26 00:00,397500,38860.66
3,4,2018/06/21 11:25,2019/10/27 00:00,397500,39647.54
2,19,2018/06/21 11:08,2019/07/24 00:00,425600,13653.16
2,19,2018/06/21 11:08,2019/07/25 00:00,425600,14381.76
2,19,2018/06/21 11:08,2019/07/26 00:00,425600,15110.35
2,19,2018/06/21 11:08,2019/07/27 00:00,425600,15838.95
2,19,2018/06/21 11:08,2019/07/28 00:00,425600,16567.55
2,19,2018/06/21 11:08,2019/07/30 00:00,425600,18024.74
2,19,2018/06/21 11:08,2019/07/31 00:00,425600,18753.34
2,19,2018/06/21 11:08,2019/08/01 00:00,425600,19481.94
2,19,2018/06/21 11:08,2019/08/02 00:00,425600,20210.54
2,19,2018/06/21 11:08,2019/08/03 00:00,425600,20939.13
2,19,2018/06/21 11:08,2019/08/04 00:00,425600,21667.73
2,19,2018/06/21 11:08,2019/08/05 00:00,425600,22396.33
2,19,2018/06/21 11:08,2019/08/06 00:00,425600,23124.92
2,19,2018/06/21 11:08,2019/08/07 00:00,425600,23853.52
2,19,2018/06/21 11:08,2019/08/08 00:00,425600,24582.12
2,19,2018/06/21 11:08,2019/08/09 00:00,425600,25310.72
2,19,2018/06/21 11:08,2019/08/10 00:00,425600,26039.31
2,19,2018/06/21 11:08,2019/08/11 00:00,425600,26767.91
2,19,2018/06/21 11:08,2019/08/12 00:00,425600,27496.51
2,19,2018/06/21 11:08,2019/08/13 00:00,425600,28225.11
2,19,2018/06/21 11:08,2019/08/14 00:00,425600,28953.7
2,19,2018/06/21 11:08,2019/08/15 00:00,425600,29682.3
