date of birth,number of people
1971_09_19,162
1972_03_24,162
1972_04_06,162
1972_05_07,162
1972_07_10,162
1972_09_01,162
1972_09_08,162
1973_06_05,162
1952_07_07,161
1955_06_15,161
1955_12_16,161
1956_07_03,161
1956_11_24,161
1957_01_08,161
1957_01_21,161
1957_04_01,161
1957_05_06,161
1957_05_12,161
1957_07_17,161
1957_08_22,161
1957_10_27,161
1957_12_15,161
1958_01_05,161
1958_01_09,161
1958_11_01,161
1958_11_05,161
1958_11_08,161
1958_12_07,161
1958_12_17,161
1959_05_02,161
1959_06_10,161
1959_07_26,161
1959_09_16,161
1959_11_07,161
1959_12_23,161
1960_05_20,161
1960_05_22,161
1960_06_23,161
1960_07_11,161
1960_08_07,161
1960_11_09,161
1960_12_22,161
1961_02_18,161
1961_03_08,161
1961_05_31,161
1961_06_04,161
1961_06_21,161
1961_06_22,161
1961_08_11,161
1961_09_27,161
1961_10_06,161
1961_10_13,161
1961_11_17,161
1962_02_13,161
1962_05_19,161
1962_05_30,161
1962_07_22,161
1963_01_26,161
1963_02_21,161
1963_02_25,161
1963_04_30,161
1963_06_27,161
1964_03_26,161
1964_08_02,161
1964_08_26,161
1964_10_20,161
1965_01_27,161
1965_02_23,161
1965_03_22,161
1965_05_18,161
1965_06_30,161
1965_07_16,161
1965_08_02,161
1965_08_16,161
1965_10_06,161
1965_10_19,161
1965_11_23,161
1966_02_20,161
1966_03_24,161
1966_03_26,161
1966_04_17,161
1966_04_18,161
1966_05_08,161
1966_05_28,161
1966_08_22,161
1966_10_11,161
1966_11_17,161
1966_12_04,161
1967_01_27,161
1967_03_27,161
1967_07_10,161
1967_07_12,161
1967_07_16,161
1967_09_19,161
1967_09_30,161
1967_12_06,161
1967_12_18,161
1968_03_22,161
1968_05_17,161
1968_06_22,161
1968_07_05,161
1968_08_22,161
1968_09_30,161
1968_10_14,161
1968_11_01,161
1968_11_22,161
1969_01_07,161
1969_01_29,161
1969_05_07,161
1969_07_09,161
1969_07_21,161
1969_08_06,161
1970_05_08,161
1970_06_23,161
1970_07_12,161
1970_07_15,161
1970_10_05,161
1970_12_05,161
1970_12_17,161
1971_01_03,161
1971_02_05,161
1971_07_07,161
1971_08_23,161
1972_01_06,161
1972_04_16,161
1972_12_22,161
1952_06_16,160
1954_03_15,160
1954_07_01,160
1954_08_24,160
1954_09_10,160
1955_06_03,160
1955_08_25,160
1956_05_10,160
1956_08_05,160
1956_08_27,160
1956_11_05,160
1957_04_15,160
1957_08_09,160
1957_08_10,160
1958_01_20,160
1958_05_01,160
1958_07_21,160
1958_07_25,160
1958_08_07,160
1958_09_02,160
1958_09_20,160
1958_10_22,160
1958_11_10,160
1958_11_30,160
1959_01_08,160
1959_01_20,160
1959_04_09,160
1959_04_25,160
1959_05_17,160
1959_06_21,160
1959_11_12,160
1959_12_09,160
1960_02_18,160
1960_02_19,160
1960_03_08,160
1960_05_11,160
1960_06_28,160
1960_07_02,160
1960_10_23,160
1961_01_17,160
1961_03_26,160
1961_04_23,160
1961_05_28,160
1961_06_23,160
1961_07_05,160
1961_07_14,160
1961_09_29,160
1961_10_05,160
1961_11_20,160
1962_01_22,160
1962_01_26,160
1962_01_31,160
1962_03_26,160
1962_05_08,160
1962_05_13,160
1962_11_01,160
1962_12_13,160
1962_12_19,160
1963_02_08,160
1963_10_13,160
1963_10_25,160
1963_10_28,160
1963_12_31,160
1964_01_19,160
1964_02_27,160
1964_03_28,160
1964_04_23,160
1964_05_21,160
1964_07_13,160
1964_09_30,160
1964_11_09,160
1965_02_06,160
1965_03_18,160
1965_04_22,160
1965_05_09,160
1965_07_04,160
1965_10_03,160
1965_10_23,160
1965_11_30,160
1965_12_30,160
1966_02_25,160
1966_07_04,160
1966_07_16,160
1966_08_09,160
1966_11_14,160
1967_01_14,160
1967_04_27,160
1967_06_23,160
1967_10_11,160
1967_11_12,160
1967_12_13,160
1968_04_23,160
1968_05_09,160
1968_07_26,160
1968_10_06,160
1968_11_02,160
1968_11_17,160
1968_11_23,160
1969_03_06,160
1969_07_08,160
1969_08_11,160
1969_09_22,160
1969_09_30,160
1970_07_11,160
1970_10_08,160
1970_12_18,160
1971_01_12,160
1971_03_13,160
1971_04_01,160
1971_04_14,160
1971_12_23,160
1972_02_16,160
1973_03_04,160
1973_12_12,160
1947_06_06,159
1953_09_09,159
1954_03_10,159
1954_09_12,159
1955_06_25,159
1955_09_12,159
1956_01_07,159
1956_03_23,159
1956_07_17,159
1956_07_27,159
1956_08_28,159
1956_12_20,159
1957_02_23,159
1957_03_08,159
1957_03_16,159
1957_05_04,159
1957_06_27,159
1957_07_15,159
1957_08_14,159
1957_11_25,159
1957_11_26,159
1957_12_10,159
1957_12_27,159
1958_02_04,159
1958_03_10,159
1958_06_27,159
1958_07_03,159
1958_08_29,159
1958_10_07,159
1958_10_13,159
1959_01_04,159
1959_01_05,159
1959_02_01,159
1959_02_16,159
1959_04_15,159
1959_05_14,159
1959_06_04,159
1959_06_24,159
1959_08_13,159
1959_09_05,159
1959_11_17,159
1959_11_25,159
1959_11_28,159
1959_12_27,159
1960_01_30,159
1960_02_27,159
1960_03_31,159
1960_05_08,159
1960_05_14,159
1960_07_26,159
1960_09_30,159
1960_10_27,159
1961_01_07,159
1961_01_11,159
1961_03_25,159
1961_03_27,159
1961_07_02,159
1961_08_27,159
1961_10_22,159
1961_11_25,159
1961_12_04,159
1961_12_06,159
1961_12_13,159
1962_01_27,159
1963_02_19,159
1963_03_30,159
1963_07_31,159
1963_08_14,159
1963_11_09,159
1964_01_27,159
1964_02_13,159
1964_03_22,159
1964_04_21,159
1964_05_09,159
1964_05_17,159
1964_05_29,159
1964_07_02,159
1964_08_21,159
1965_01_08,159
1965_01_16,159
1965_01_17,159
1965_01_21,159
1965_05_21,159
1965_11_29,159
1966_05_27,159
1966_06_18,159
1966_06_22,159
1966_10_07,159
1966_11_09,159
1967_01_28,159
1967_02_04,159
1967_06_21,159
1967_11_02,159
1968_01_22,159
1968_04_27,159
1968_10_23,159
1969_02_15,159
1969_12_08,159
1970_02_08,159
1970_02_14,159
1970_04_07,159
1970_05_04,159
1970_05_20,159
1970_06_28,159
1970_09_13,159
1970_10_01,159
1972_04_15,159
1972_05_03,159
1972_09_02,159
1973_05_04,159
1973_06_15,159
1973_09_25,159
1950_04_04,158
1953_03_23,158
1953_12_12,158
1956_01_06,158
1956_01_10,158
1956_03_02,158
1956_03_27,158
1956_04_14,158
1956_05_12,158
1956_06_08,158
1956_06_11,158
1957_01_07,158
1957_02_15,158
1957_02_22,158
1957_04_06,158
1957_05_03,158
1957_06_05,158
1957_07_14,158
1957_11_24,158
1957_11_29,158
1958_02_07,158
1958_02_14,158
1958_02_24,158
1958_11_29,158
1959_02_05,158
1959_06_18,158
1959_08_05,158
1959_08_12,158
1959_10_06,158
1959_11_02,158
1960_04_25,158
1960_06_17,158
1960_10_17,158
1960_10_26,158
1961_02_05,158
1961_02_07,158
1961_04_18,158
1961_06_09,158
1961_08_12,158
1961_09_06,158
1961_09_25,158
1961_11_06,158
1962_05_17,158
1963_02_22,158
1963_04_20,158
1963_06_30,158
1963_10_18,158
1963_12_14,158
1964_01_22,158
1964_11_02,158
1964_11_27,158
1964_12_07,158
1964_12_29,158
1965_01_23,158
1965_02_07,158
1965_04_02,158
1965_10_17,158
1965_10_21,158
1965_10_24,158
1965_11_03,158
1965_11_04,158
1965_11_09,158
1965_11_27,158
1965_12_17,158
1966_01_11,158
1966_05_31,158
1966_11_19,158
1966_12_21,158
1967_02_22,158
1967_05_13,158
1967_08_03,158
1967_08_22,158
1967_10_26,158
1968_03_17,158
1968_07_25,158
1968_11_30,158
1969_03_22,158
1969_06_11,158
1969_08_16,158
1969_10_29,158
1969_12_02,158
1969_12_11,158
1969_12_13,158
1970_03_24,158
1970_06_30,158
1970_11_28,158
1971_02_12,158
1971_04_02,158
1971_04_25,158
1971_09_01,158
1972_01_04,158
1972_03_20,158
1972_03_26,158
1973_08_23,158
1976_03_03,158
1952_06_15,157
1952_08_05,157
1953_09_10,157
1955_07_01,157
1956_02_10,157
1956_04_20,157
1956_06_17,157
1956_11_28,157
1956_12_23,157
1957_04_11,157
1957_08_05,157
1957_08_11,157
1957_10_12,157
1957_12_17,157
1958_01_06,157
1958_03_13,157
1958_04_02,157
1958_05_02,157
1958_05_21,157
1958_06_17,157
1958_06_29,157
1958_07_22,157
1958_08_26,157
1958_09_29,157
1958_10_01,157
1958_10_26,157
1958_11_17,157
1958_12_13,157
1959_01_10,157
1959_08_09,157
1959_11_10,157
1959_11_21,157
1959_11_23,157
1959_11_24,157
1960_02_06,157
1960_03_29,157
1961_01_14,157
1961_01_26,157
1961_03_11,157
1961_04_13,157
1961_06_03,157
1961_09_13,157
1961_10_19,157
1961_12_21,157
1962_03_31,157
1962_04_29,157
1962_05_09,157
1962_06_19,157
1962_08_27,157
1963_05_19,157
1963_09_27,157
1963_12_21,157
1964_02_17,157
1964_07_01,157
1964_10_17,157
1964_10_23,157
1965_02_24,157
1965_03_09,157
1965_10_16,157
1965_12_11,157
1965_12_21,157
1966_01_22,157
1966_04_28,157
1966_05_13,157
1966_05_16,157
1966_07_02,157
1966_07_26,157
1966_11_04,157
1967_02_07,157
1967_02_26,157
1967_03_09,157
1967_03_11,157
1967_09_04,157
1967_10_17,157
1967_12_17,157
1968_07_03,157
1968_08_06,157
1968_08_19,157
1968_11_27,157
1969_02_06,157
1969_03_14,157
1969_04_08,157
1969_09_07,157
1969_11_16,157
1970_03_18,157
1970_03_27,157
1970_06_17,157
1970_07_13,157
1970_08_01,157
1970_08_09,157
1970_10_06,157
1970_11_22,157
1971_03_02,157
1971_04_12,157
1971_06_03,157
1972_03_16,157
1972_09_25,157
1972_10_02,157
1973_01_03,157
1973_06_26,157
1973_07_07,157
1948_02_02,156
1948_12_25,156
1952_03_23,156
1954_12_23,156
1955_01_15,156
1955_09_24,156
1956_06_14,156
1956_08_19,156
1957_08_15,156
1957_11_17,156
1958_03_16,156
1958_04_30,156
1958_05_03,156
1958_06_30,156
1958_10_29,156
1959_01_28,156
1959_04_02,156
1959_06_30,156
1959_07_21,156
1959_11_30,156
1960_01_13,156
1960_03_11,156
1960_04_30,156
1960_07_25,156
1960_09_17,156
1960_10_01,156
1960_10_02,156
1960_10_22,156
1961_01_20,156
1961_02_16,156
1961_04_08,156
1961_05_16,156
1961_08_03,156
1961_12_08,156
1962_01_17,156
1962_05_26,156
1962_10_03,156
1962_11_16,156
1963_07_19,156
1963_07_22,156
1963_08_17,156
1963_12_19,156
1963_12_30,156
1964_05_11,156
1964_10_09,156
1965_01_09,156
1965_07_22,156
1966_01_20,156
1966_01_21,156
1966_08_21,156
1966_10_09,156
1967_07_13,156
1967_08_14,156
1967_10_03,156
1967_11_15,156
1968_01_09,156
1968_01_16,156
1968_02_14,156
1968_02_20,156
1968_07_09,156
1968_08_13,156
1968_11_15,156
1968_12_19,156
1969_01_19,156
1969_02_25,156
1969_06_21,156
1969_06_30,156
1969_12_19,156
1970_04_28,156
1970_05_11,156
1970_05_16,156
1971_01_04,156
1971_02_08,156
1971_02_14,156
1971_05_06,156
1971_07_21,156
1971_08_25,156
1972_02_01,156
1972_02_25,156
1972_05_01,156
1972_05_12,156
1972_08_26,156
1972_12_15,156
1973_04_24,156
1973_09_03,156
1974_06_04,156
1974_08_08,156
1974_09_23,156
1949_03_03,155
1951_10_10,155
1952_06_10,155
1952_09_09,155
1952_09_29,155
1953_03_12,155
1953_06_16,155
1954_04_15,155
1954_06_03,155
1954_07_17,155
1955_05_10,155
1955_05_25,155
1955_08_08,155
1955_09_10,155
1956_07_06,155
1956_09_16,155
1957_02_03,155
1957_03_07,155
1957_04_16,155
1957_06_13,155
1957_06_23,155
1957_09_17,155
1957_11_05,155
1957_11_27,155
1957_11_28,155
1957_12_23,155
1957_12_28,155
1958_01_31,155
1958_02_20,155
1958_03_26,155
1958_05_08,155
1958_08_14,155
1958_09_24,155
1958_12_03,155
1959_03_17,155
1959_03_26,155
1959_05_04,155
1959_06_26,155
1959_07_19,155
1959_10_02,155
1959_10_04,155
1960_05_24,155
1960_07_05,155
1960_07_19,155
1960_11_13,155
1961_03_19,155
1961_05_14,155
1961_07_03,155
1961_08_07,155
1961_10_26,155
1961_12_02,155
1962_03_11,155
1962_06_23,155
1962_06_27,155
1962_11_06,155
1963_02_26,155
1963_05_21,155
1963_11_07,155
1964_01_09,155
1964_03_29,155
1964_04_19,155
1964_08_13,155
1964_10_27,155
1965_05_08,155
1965_10_13,155
1965_10_22,155
1965_12_03,155
1966_01_08,155
1966_02_11,155
1966_02_17,155
1966_05_18,155
1966_08_16,155
1966_09_30,155
1966_12_29,155
1967_02_09,155
1967_04_13,155
1967_04_21,155
1967_04_25,155
1967_05_21,155
1967_07_03,155
1967_10_30,155
1967_11_05,155
1967_11_19,155
1967_12_15,155
1967_12_19,155
1968_05_22,155
1968_05_26,155
1968_07_18,155
1968_11_29,155
1969_02_01,155
1969_02_11,155
1969_03_09,155
1969_03_21,155
1969_06_24,155
1969_08_20,155
1970_01_11,155
1970_01_28,155
1970_05_21,155
1971_01_07,155
1971_04_17,155
1971_06_20,155
1972_06_24,155
1972_07_05,155
1972_09_24,155
1973_03_13,155
1973_08_28,155
1974_06_10,155
1974_09_24,155
1949_12_25,154
1952_06_01,154
1953_04_12,154
1953_12_23,154
1954_02_28,154
1954_09_23,154
1954_09_27,154
1954_11_24,154
1955_01_05,154
1955_03_05,154
1955_06_10,154
1955_09_06,154
1955_09_25,154
1956_04_01,154
1956_04_24,154
1957_01_02,154
1957_01_04,154
1957_03_13,154
1957_05_16,154
1957_07_16,154
1957_10_23,154
1957_10_25,154
1957_12_05,154
1958_03_24,154
1958_04_03,154
1958_04_21,154
1958_07_01,154
1958_07_13,154
1958_10_21,154
1958_10_23,154
1958_12_04,154
1959_02_03,154
1959_02_17,154
1959_05_16,154
1959_06_11,154
1959_06_29,154
1959_07_11,154
1959_08_07,154
1959_08_18,154
1959_08_30,154
1959_09_21,154
1959_12_11,154
1959_12_20,154
1960_01_18,154
1960_01_19,154
1960_01_21,154
1960_08_27,154
1960_10_07,154
1960_11_07,154
1960_11_30,154
1961_04_20,154
1961_06_19,154
1961_11_24,154
1961_12_03,154
1961_12_05,154
1961_12_31,154
1962_07_19,154
1962_12_30,154
1963_03_28,154
1963_10_22,154
1963_10_24,154
1963_10_27,154
1963_11_22,154
1964_02_11,154
1964_06_29,154
1964_07_14,154
1964_07_21,154
1965_02_11,154
1965_06_19,154
1965_10_09,154
1965_10_26,154
1966_01_14,154
1966_02_18,154
1966_05_19,154
1966_06_30,154
1966_08_03,154
1966_08_18,154
1966_12_30,154
1967_01_24,154
1967_02_18,154
1967_03_30,154
1967_08_15,154
1967_10_06,154
1967_12_29,154
1968_02_07,154
1968_04_09,154
1968_04_18,154
1969_01_13,154
1969_01_20,154
1969_01_24,154
1969_07_27,154
1969_10_02,154
1969_11_09,154
1969_11_23,154
1969_11_24,154
1970_07_21,154
1970_11_01,154
1970_11_03,154
1971_01_21,154
1971_04_20,154
1971_06_25,154
1971_09_06,154
1971_10_02,154
1972_03_07,154
1972_03_22,154
1972_09_21,154
1972_09_27,154
1972_11_22,154
1973_12_24,154
1949_02_02,153
1953_05_15,153
1953_06_15,153
1955_03_02,153
1956_03_09,153
1956_05_06,153
1956_06_02,153
1956_08_06,153
1956_10_19,153
1957_03_20,153
1957_07_02,153
1957_08_07,153
1957_09_06,153
1958_01_16,153
1958_01_26,153
1958_02_10,153
1958_02_23,153
1958_03_19,153
1958_11_09,153
1959_02_09,153
1959_03_09,153
1959_06_19,153
1959_08_14,153
1959_10_30,153
1959_11_19,153
1960_01_09,153
1960_04_19,153
1960_05_23,153
1960_07_12,153
1960_10_06,153
1960_10_08,153
1961_02_20,153
1961_02_24,153
1961_05_03,153
1961_07_09,153
1961_07_25,153
1961_09_08,153
1961_12_29,153
1962_01_11,153
1962_01_20,153
1962_07_30,153
1962_08_09,153
1962_11_09,153
1963_01_23,153
1963_01_28,153
1963_01_31,153
1963_04_25,153
1963_12_13,153
1964_05_22,153
1964_05_26,153
1964_06_23,153
1964_10_14,153
1964_11_03,153
1965_01_24,153
1965_02_20,153
1965_02_21,153
1965_07_03,153
1965_07_13,153
1965_10_27,153
1966_01_26,153
1966_04_26,153
1966_04_29,153
1966_07_14,153
1966_12_09,153
1966_12_13,153
1967_02_25,153
1967_03_19,153
1967_03_22,153
1967_03_29,153
1967_06_09,153
1967_07_24,153
1967_10_02,153
1967_10_21,153
1967_11_26,153
1968_04_21,153
1968_06_30,153
1968_10_19,153
1969_05_08,153
1969_05_16,153
1969_07_11,153
1969_07_16,153
1969_08_02,153
1969_08_14,153
1969_10_08,153
1969_11_05,153
1970_04_09,153
1970_05_13,153
1970_07_24,153
1970_10_18,153
1970_10_26,153
1970_10_29,153
1970_12_22,153
1971_02_10,153
1971_09_11,153
1971_11_12,153
1972_02_23,153
1972_03_21,153
1972_05_04,153
1972_06_07,153
1973_06_04,153
1974_03_23,153
1975_06_25,153
1947_10_10,152
1948_08_08,152
1952_01_02,152
1952_01_10,152
1952_06_02,152
1952_11_12,152
1954_04_01,152
1954_04_12,152
1954_09_09,152
1954_10_20,152
1955_05_13,152
1956_01_12,152
1956_05_11,152
1956_08_07,152
1956_09_12,152
1956_09_21,152
1956_10_14,152
1956_10_16,152
1957_01_12,152
1957_02_16,152
1957_02_27,152
1957_03_26,152
1957_05_22,152
1957_05_25,152
1957_05_29,152
1957_06_07,152
1957_06_08,152
1957_07_21,152
1957_08_19,152
1957_11_18,152
1957_11_22,152
1957_11_23,152
1957_12_09,152
1958_05_04,152
1958_05_22,152
1958_10_17,152
1958_12_15,152
1959_02_14,152
1959_02_19,152
1959_04_17,152
1959_04_21,152
1959_05_06,152
1959_05_21,152
1959_10_14,152
1959_11_13,152
1959_11_14,152
1959_12_03,152
1959_12_08,152
1960_01_27,152
1960_05_21,152
1960_06_13,152
1960_07_09,152
1960_11_17,152
1960_11_22,152
1960_11_26,152
1960_12_07,152
1961_03_24,152
1961_08_25,152
1961_12_28,152
1963_06_22,152
1963_11_19,152
1964_04_26,152
1964_05_13,152
1964_07_22,152
1964_10_26,152
1964_11_14,152
1964_12_18,152
1964_12_31,152
1965_03_27,152
1965_06_29,152
1965_11_24,152
1965_12_18,152
1966_02_26,152
1966_07_17,152
1966_07_22,152
1966_08_23,152
1966_08_30,152
1966_10_17,152
1966_10_30,152
1966_11_15,152
1966_12_08,152
1966_12_14,152
1967_02_06,152
1967_08_05,152
1967_10_05,152
1967_10_24,152
1968_01_11,152
1968_06_29,152
1968_11_09,152
1968_12_29,152
1969_02_20,152
1969_03_26,152
1969_05_17,152
1969_06_23,152
1969_08_03,152
1969_10_06,152
1969_11_18,152
1969_12_27,152
1970_01_21,152
1970_02_23,152
1970_09_27,152
1970_12_02,152
1971_05_24,152
1971_08_18,152
1971_09_04,152
1971_09_21,152
1971_09_23,152
1971_09_26,152
1971_10_25,152
1971_11_25,152
1972_06_28,152
1972_07_22,152
1972_08_12,152
1973_06_03,152
1922_01_01,151
1953_09_23,151
1954_02_12,151
1954_09_16,151
1954_09_29,151
1955_06_26,151
1956_04_11,151
1956_06_29,151
1956_07_02,151
1956_09_07,151
1956_09_19,151
1956_09_25,151
1956_09_28,151
1956_11_12,151
1956_11_26,151
1957_01_06,151
1957_01_15,151
1957_02_06,151
1957_04_07,151
1957_04_14,151
1957_05_18,151
1957_07_03,151
1957_11_03,151
1957_12_20,151
1958_03_31,151
1958_08_13,151
1958_10_27,151
1958_11_03,151
1958_11_06,151
1958_11_23,151
1959_03_14,151
1959_04_07,151
1959_04_19,151
1959_08_21,151
1959_09_08,151
1959_09_14,151
1959_12_30,151
1960_01_14,151
1960_06_21,151
1960_07_28,151
1960_08_21,151
1960_09_13,151
1960_10_31,151
1960_12_13,151
1961_02_06,151
1961_03_01,151
1961_06_26,151
1961_07_18,151
1961_07_24,151
1961_10_30,151
1961_11_07,151
1961_11_15,151
1961_12_09,151
1961_12_30,151
1962_05_27,151
1962_07_18,151
1963_01_11,151
1963_01_19,151
1963_01_30,151
1963_05_22,151
1963_06_19,151
1964_11_13,151
1965_06_23,151
1965_09_30,151
1965_10_04,151
1966_04_23,151
1966_05_14,151
1966_11_18,151
1966_11_30,151
1966_12_19,151
1967_01_08,151
1967_05_28,151
1967_07_02,151
1967_10_09,151
1967_10_25,151
1967_11_09,151
1967_11_29,151
1967_12_11,151
1968_02_11,151
1968_06_17,151
1968_10_04,151
1968_11_19,151
1969_04_29,151
1969_05_28,151
1969_06_28,151
1969_08_27,151
1969_10_13,151
1970_01_14,151
1970_02_11,151
1970_07_04,151
1970_12_06,151
1971_01_10,151
1971_05_04,151
1971_06_05,151
1971_08_10,151
1971_12_07,151
1972_03_08,151
1972_07_16,151
1972_10_06,151
1972_12_06,151
1973_01_02,151
1973_03_10,151
1973_10_20,151
1973_10_23,151
1974_03_12,151
1952_05_05,150
1954_06_04,150
1954_07_15,150
1955_01_16,150
1955_06_24,150
1955_09_23,150
1956_01_20,150
1956_03_06,150
1956_04_12,150
1956_08_16,150
1956_08_26,150
1956_09_08,150
1956_09_18,150
1956_09_24,150
1956_10_05,150
1956_10_11,150
1956_12_22,150
1956_12_24,150
1957_02_20,150
1957_05_19,150
1957_08_24,150
1957_09_08,150
1957_11_01,150
1957_12_14,150
1957_12_24,150
1958_02_17,150
1958_04_20,150
1958_04_26,150
1958_06_13,150
1958_07_29,150
1959_01_07,150
1959_02_24,150
1959_03_30,150
1959_04_13,150
1959_07_17,150
1959_10_15,150
1959_10_17,150
1959_11_04,150
1959_11_27,150
1959_12_19,150
1960_02_11,150
1960_03_22,150
1960_07_06,150
1961_01_13,150
1961_01_18,150
1961_04_28,150
1961_05_09,150
1961_05_24,150
1961_06_20,150
1961_06_27,150
1961_06_29,150
1961_07_17,150
1961_08_23,150
1961_08_29,150
1961_09_30,150
1961_10_16,150
1962_03_29,150
1962_11_14,150
1963_04_19,150
1963_04_27,150
1963_04_29,150
1963_05_11,150
1963_08_22,150
1964_08_09,150
1964_11_19,150
1964_12_19,150
1965_01_13,150
1965_04_17,150
1965_05_22,150
1965_07_28,150
1965_11_18,150
1966_08_11,150
1967_04_17,150
1967_08_23,150
1967_09_05,150
1967_10_04,150
1967_12_21,150
1968_01_14,150
1968_01_26,150
1968_03_19,150
1968_05_11,150
1968_11_08,150
1968_11_21,150
1968_12_09,150
1969_01_28,150
1969_03_17,150
1969_03_18,150
1969_03_27,150
1969_04_22,150
1969_07_26,150
1970_01_16,150
1970_01_23,150
1970_05_02,150
1970_10_02,150
1972_02_14,150
1972_05_08,150
1972_07_17,150
1972_09_19,150
1973_04_05,150
1973_06_12,150
1973_08_10,150
1976_02_02,150
1942_06_06,149
1950_12_16,149
1952_04_12,149
1952_08_28,149
1953_06_03,149
1954_01_06,149
1954_05_10,149
1955_05_15,149
1955_06_01,149
1955_06_05,149
1955_09_03,149
1955_12_24,149
1956_01_02,149
1956_02_14,149
1956_03_08,149
1956_04_26,149
1956_06_28,149
1956_12_02,149
1956_12_29,149
1957_01_16,149
1957_02_11,149
1957_02_14,149
1957_03_12,149
1957_04_20,149
1957_05_11,149
1957_07_23,149
1957_09_14,149
1957_10_17,149
1958_01_14,149
1958_02_05,149
1958_03_25,149
1958_03_30,149
1958_04_25,149
1958_08_03,149
1959_03_01,149
1959_03_06,149
1959_03_24,149
1959_04_08,149
1959_08_20,149
1959_08_23,149
1960_05_26,149
1960_07_18,149
1960_08_19,149
1960_12_17,149
1960_12_21,149
1960_12_29,149
1961_03_20,149
1961_05_29,149
1961_06_07,149
1961_07_04,149
1961_07_21,149
1961_08_09,149
1962_01_30,149
1962_02_27,149
1962_04_26,149
1962_07_20,149
1962_12_09,149
1963_04_21,149
1963_07_08,149
1963_07_24,149
1964_04_11,149
1964_05_23,149
1964_08_11,149
1964_08_19,149
1964_11_07,149
1965_02_19,149
1965_07_24,149
1965_08_13,149
1965_08_26,149
1965_10_29,149
1965_11_07,149
1965_12_31,149
1966_05_26,149
1966_07_12,149
1966_08_29,149
1966_10_25,149
1966_11_23,149
1967_02_17,149
1967_02_23,149
1967_05_22,149
1967_07_06,149
1967_11_01,149
1967_11_14,149
1968_02_25,149
1968_10_13,149
1968_11_14,149
1969_05_26,149
1969_06_13,149
1969_08_24,149
1969_10_22,149
1969_12_05,149
1969_12_10,149
1970_01_27,149
1970_07_17,149
1971_02_09,149
1971_03_14,149
1971_06_04,149
1971_07_17,149
1971_09_16,149
1971_11_05,149
1971_12_21,149
1972_01_11,149
1972_02_18,149
1972_03_11,149
1972_06_14,149
1972_08_11,149
1972_09_03,149
1972_12_02,149
1952_03_02,148
1952_05_10,148
1953_06_07,148
1953_09_27,148
1954_03_13,148
1954_08_20,148
1954_12_16,148
1955_01_03,148
1955_02_28,148
1955_05_12,148
1955_07_10,148
1955_08_21,148
1955_12_05,148
1955_12_14,148
1956_02_17,148
1956_02_22,148
1956_03_13,148
1956_04_09,148
1956_04_10,148
1956_06_09,148
1956_07_13,148
1956_08_01,148
1956_10_02,148
1956_11_08,148
1957_02_13,148
1957_03_01,148
1957_03_11,148
1957_03_19,148
1957_03_28,148
1957_05_02,148
1957_05_13,148
1957_10_15,148
1957_10_26,148
1957_10_28,148
1958_04_17,148
1958_05_29,148
1958_06_18,148
1958_08_19,148
1958_08_22,148
1958_09_13,148
1958_12_06,148
1959_03_25,148
1959_04_30,148
1959_06_13,148
1959_12_17,148
1960_03_17,148
1960_07_03,148
1960_08_22,148
1961_05_21,148
1961_05_26,148
1961_07_06,148
1961_10_15,148
1961_11_16,148
1961_12_15,148
1961_12_19,148
1962_01_18,148
1963_07_26,148
1963_08_29,148
1965_01_18,148
1965_08_11,148
1965_12_19,148
1966_01_24,148
1966_06_27,148
1967_03_25,148
1967_05_16,148
1967_07_22,148
1967_08_19,148
1967_08_20,148
1968_02_27,148
1968_12_07,148
1969_02_18,148
1969_03_16,148
1969_10_11,148
1969_10_17,148
1969_10_26,148
1969_11_30,148
1969_12_14,148
1970_01_22,148
1970_02_24,148
1970_08_27,148
1970_10_09,148
1970_11_26,148
1970_12_07,148
1971_03_06,148
1971_03_25,148
1971_05_21,148
1971_06_11,148
1971_12_12,148
1972_07_23,148
1972_07_25,148
1972_09_05,148
1972_09_11,148
1972_09_16,148
1972_11_28,148
1973_01_10,148
1973_04_06,148
1973_07_17,148
1973_09_15,148
1973_10_03,148
1950_12_12,147
1952_12_28,147
1953_09_13,147
1953_09_16,147
1953_12_18,147
1954_06_07,147
1954_09_28,147
1955_03_30,147
1955_06_08,147
1955_09_21,147
1956_01_08,147
1956_04_19,147
1956_06_03,147
1956_06_18,147
1956_06_27,147
1956_07_10,147
1956_08_25,147
1956_10_13,147
1957_01_19,147
1957_03_02,147
1957_03_06,147
1957_04_03,147
1957_04_13,147
1957_04_25,147
1957_05_14,147
1957_07_28,147
1957_10_30,147
1958_02_09,147
1958_02_18,147
1958_03_29,147
1958_05_14,147
1958_05_17,147
1958_10_16,147
1958_10_24,147
1959_03_07,147
1959_03_20,147
1959_03_22,147
1959_03_27,147
1959_04_27,147
1959_06_09,147
1959_08_31,147
1959_10_07,147
1959_10_11,147
1959_11_18,147
1959_12_07,147
1960_07_04,147
1960_07_22,147
1961_02_26,147
1961_03_28,147
1961_06_28,147
1961_10_07,147
1961_10_11,147
1961_10_17,147
1961_11_08,147
1962_01_21,147
1962_08_26,147
1962_11_19,147
1963_01_13,147
1963_05_18,147
1963_08_16,147
1964_01_23,147
1964_07_18,147
1964_08_29,147
1964_10_21,147
1965_02_14,147
1965_05_24,147
1965_08_30,147
1965_10_07,147
1966_01_09,147
1966_04_19,147
1966_07_23,147
