date of birth,number of people
1965_06_02,221
1967_06_16,221
1968_08_12,221
1969_08_08,221
1969_09_23,221
1969_12_24,221
1958_11_11,220
1959_09_23,220
1960_08_08,220
1963_12_16,220
1964_01_03,220
1964_11_11,220
1965_09_25,220
1966_08_08,220
1967_12_12,220
1968_12_24,220
1969_01_05,220
1969_03_13,220
1969_06_10,220
1952_02_02,219
1954_10_10,219
1957_08_08,219
1958_06_12,219
1960_03_15,219
1960_06_01,219
1960_08_12,219
1962_03_25,219
1962_09_23,219
1963_01_05,219
1964_02_28,219
1965_04_05,219
1965_10_05,219
1966_03_15,219
1969_09_15,219
1970_12_16,219
1974_04_04,219
1959_12_12,218
1961_12_12,218
1962_08_28,218
1963_09_16,218
1964_02_04,218
1964_03_15,218
1964_03_24,218
1967_06_12,218
1968_05_15,218
1968_09_23,218
1970_08_28,218
1960_06_25,217
1962_03_15,217
1963_02_28,217
1963_06_15,217
1963_12_29,217
1964_01_05,217
1964_06_05,217
1964_10_24,217
1967_01_10,217
1967_06_05,217
1968_06_20,217
1974_10_10,217
1954_04_04,216
1963_02_03,216
1963_03_23,216
1963_06_05,216
1963_08_03,216
1964_06_03,216
1965_09_12,216
1968_02_10,216
1968_03_05,216
1968_04_05,216
1968_05_06,216
1970_02_28,216
1970_03_10,216
1945_01_01,215
1960_03_23,215
1962_04_06,215
1963_04_10,215
1963_06_03,215
1963_07_27,215
1964_12_16,215
1965_06_04,215
1965_09_15,215
1966_03_05,215
1967_06_04,215
1968_10_25,215
1969_09_29,215
1970_03_15,215
1970_08_08,215
1972_08_08,215
1953_10_10,214
1958_06_26,214
1960_01_02,214
1960_02_12,214
1960_06_15,214
1963_09_10,214
1965_02_05,214
1965_10_25,214
1968_08_05,214
1968_09_18,214
1969_06_12,214
1958_02_28,213
1958_05_05,213
1960_06_12,213
1961_03_12,213
1962_02_15,213
1962_09_02,213
1962_12_28,213
1963_01_03,213
1963_03_10,213
1965_06_25,213
1967_04_06,213
1971_04_04,213
1957_04_04,212
1962_11_02,212
1963_09_24,212
1964_05_06,212
1964_09_28,212
1965_05_10,212
1965_08_25,212
1967_03_13,212
1967_09_16,212
1968_09_15,212
1969_06_15,212
1970_05_06,212
1970_09_08,212
1972_03_15,212
1952_03_03,211
1957_12_12,211
1959_09_15,211
1960_09_15,211
1960_12_02,211
1962_02_28,211
1964_08_10,211
1964_09_08,211
1968_05_10,211
1969_09_10,211
1969_09_25,211
1955_12_25,210
1959_12_28,210
1962_02_05,210
1963_01_15,210
1964_04_14,210
1965_04_16,210
1965_05_15,210
1965_12_24,210
1966_06_05,210
1967_03_10,210
1968_04_03,210
1968_09_04,210
1969_08_28,210
1969_12_16,210
1970_10_20,210
1970_11_11,210
1962_01_05,209
1962_05_15,209
1962_09_14,209
1962_11_05,209
1963_06_02,209
1963_09_29,209
1964_04_01,209
1964_07_17,209
1964_09_19,209
1965_04_03,209
1965_12_05,209
1966_06_03,209
1966_09_08,209
1967_04_10,209
1967_12_16,209
1968_04_10,209
1968_09_25,209
1968_12_28,209
1970_06_15,209
1960_01_15,208
1960_06_10,208
1961_07_07,208
1962_01_03,208
1962_03_01,208
1962_06_01,208
1962_06_10,208
1964_03_10,208
1964_04_16,208
1964_09_12,208
1966_05_06,208
1966_06_08,208
1967_03_04,208
1967_09_15,208
1968_04_15,208
1968_08_01,208
1969_02_03,208
1969_02_04,208
1969_03_12,208
1957_09_09,207
1958_06_16,207
1960_06_05,207
1960_12_24,207
1962_02_22,207
1962_04_24,207
1963_03_13,207
1963_06_13,207
1966_06_07,207
1968_09_22,207
1969_01_02,207
1969_01_03,207
1969_03_05,207
1969_05_03,207
1970_03_05,207
1954_12_25,206
1960_08_06,206
1960_09_25,206
1962_03_12,206
1962_04_03,206
1962_07_23,206
1962_08_02,206
1962_09_25,206
1962_09_26,206
1963_03_16,206
1964_04_05,206
1964_09_03,206
1965_06_07,206
1966_08_10,206
1966_12_05,206
1968_10_08,206
1969_08_15,206
1970_01_03,206
1970_05_15,206
1961_04_24,205
1962_03_04,205
1962_04_10,205
1962_08_06,205
1962_09_15,205
1962_09_27,205
1963_06_20,205
1965_09_24,205
1966_04_15,205
1966_05_15,205
1968_04_14,205
1968_09_20,205
1970_03_02,205
1971_12_25,205
1974_02_02,205
1941_01_01,204
1956_04_04,204
1962_09_12,204
1962_12_01,204
1963_03_02,204
1963_03_25,204
1963_09_21,204
1963_10_02,204
1964_03_02,204
1964_03_23,204
1965_05_03,204
1965_08_15,204
1966_11_25,204
1967_05_15,204
1967_12_20,204
1967_12_24,204
1968_04_28,204
1968_07_15,204
1968_09_02,204
1969_12_01,204
1970_02_05,204
1970_03_13,204
1970_05_10,204
1973_12_25,204
1960_02_03,203
1960_06_03,203
1960_12_16,203
1961_03_04,203
1962_03_28,203
1962_08_10,203
1962_09_21,203
1962_09_24,203
1963_01_20,203
1963_02_04,203
1963_02_05,203
1963_02_15,203
1964_05_15,203
1964_06_07,203
1964_08_28,203
1964_11_25,203
1965_03_12,203
1966_03_04,203
1967_03_23,203
1967_09_12,203
1968_06_14,203
1969_03_04,203
1970_03_23,203
1970_09_12,203
1958_01_02,202
1958_08_15,202
1959_06_16,202
1960_03_21,202
1960_06_26,202
1961_01_05,202
1961_08_08,202
1962_03_06,202
1962_06_25,202
1963_04_15,202
1963_05_25,202
1963_06_01,202
1963_08_10,202
1963_09_25,202
1964_05_16,202
1965_03_23,202
1965_04_10,202
1966_01_04,202
1966_04_16,202
1967_02_28,202
1967_03_12,202
1968_01_04,202
1968_08_10,202
1968_08_16,202
1969_02_10,202
1969_04_20,202
1969_06_04,202
1970_02_12,202
1970_06_05,202
1970_09_23,202
1970_12_24,202
1950_03_03,201
1952_12_25,201
1954_08_08,201
1958_09_10,201
1958_09_28,201
1960_01_10,201
1960_12_06,201
1961_06_16,201
1961_12_24,201
1962_01_08,201
1962_02_06,201
1962_03_10,201
1963_06_26,201
1964_02_24,201
1964_04_03,201
1964_06_02,201
1964_09_25,201
1965_03_25,201
1965_04_12,201
1965_04_25,201
1966_01_10,201
1966_03_23,201
1967_01_07,201
1967_01_15,201
1967_05_03,201
1968_01_03,201
1968_01_12,201
1968_04_24,201
1968_07_01,201
1968_09_11,201
1969_09_20,201
1962_08_12,200
1963_03_04,200
1963_03_06,200
1963_06_07,200
1964_04_15,200
1965_01_10,200
1966_01_15,200
1966_03_12,200
1967_06_20,200
1967_09_23,200
1967_09_27,200
1968_03_20,200
1968_05_02,200
1968_06_04,200
1968_06_11,200
1968_07_02,200
1969_06_02,200
1969_08_12,200
1969_09_26,200
1970_03_04,200
1971_09_09,200
1957_07_27,199
1959_02_28,199
1960_04_05,199
1961_09_09,199
1962_02_18,199
1962_03_05,199
1962_08_20,199
1962_09_10,199
1962_09_17,199
1962_09_22,199
1962_11_25,199
1963_01_07,199
1963_03_24,199
1963_04_03,199
1963_09_05,199
1963_12_03,199
1964_03_05,199
1964_04_07,199
1964_09_15,199
1964_12_01,199
1965_09_11,199
1965_12_26,199
1966_02_28,199
1966_03_10,199
1967_04_15,199
1967_07_17,199
1968_06_01,199
1968_09_03,199
1968_11_11,199
1968_11_12,199
1970_01_15,199
1970_09_10,199
1975_10_10,199
1960_01_03,198
1960_07_27,198
1960_09_16,198
1961_09_10,198
1962_07_17,198
1962_09_04,198
1962_10_02,198
1963_03_11,198
1963_03_20,198
1963_05_04,198
1963_11_25,198
1964_02_08,198
1964_02_15,198
1964_05_01,198
1965_03_06,198
1965_09_20,198
1965_11_10,198
1965_12_29,198
1967_03_05,198
1967_05_12,198
1967_06_02,198
1968_08_24,198
1968_09_27,198
1969_09_24,198
1971_02_28,198
1972_06_16,198
1954_03_03,197
1956_06_20,197
1958_04_16,197
1958_08_06,197
1959_09_26,197
1959_09_29,197
1960_09_14,197
1960_09_28,197
1962_01_10,197
1962_05_12,197
1962_06_05,197
1962_06_07,197
1963_05_17,197
1963_07_23,197
1963_10_03,197
1963_12_24,197
1964_02_05,197
1964_09_05,197
1964_09_20,197
1965_05_02,197
1965_12_15,197
1966_02_03,197
1966_12_10,197
1967_01_03,197
1967_09_10,197
1968_01_15,197
1968_09_17,197
1968_10_16,197
1968_10_28,197
1969_03_15,197
1969_06_26,197
1970_06_12,197
1972_03_23,197
1955_03_03,196
1956_11_11,196
1959_08_01,196
1960_03_12,196
1961_03_15,196
1961_06_01,196
1962_04_16,196
1962_05_03,196
1962_07_02,196
1962_10_25,196
1963_01_10,196
1963_05_06,196
1963_07_11,196
1963_08_04,196
1964_09_13,196
1964_09_18,196
1965_02_10,196
1965_02_12,196
1965_06_20,196
1965_09_26,196
1966_03_06,196
1966_04_24,196
1966_09_16,196
1966_09_27,196
1966_12_24,196
1967_01_12,196
1967_12_23,196
1968_03_06,196
1968_04_02,196
1969_01_04,196
1969_06_20,196
1970_06_10,196
1972_09_09,196
1953_03_03,195
1954_07_07,195
1957_09_15,195
1958_09_23,195
1958_09_26,195
1960_09_07,195
1961_09_20,195
1962_03_20,195
1962_04_14,195
1963_06_25,195
1963_09_01,195
1963_10_20,195
1964_04_20,195
1964_08_05,195
1965_06_24,195
1966_06_20,195
1966_08_28,195
1966_09_15,195
1966_10_06,195
1968_01_10,195
1968_03_13,195
1968_03_14,195
1968_09_13,195
1969_09_16,195
1970_04_12,195
1970_04_15,195
1970_06_01,195
1970_06_25,195
1971_01_05,195
1972_03_02,195
1972_03_12,195
1973_04_04,195
1956_07_07,194
1957_08_28,194
1957_10_01,194
1958_05_15,194
1958_10_28,194
1959_07_07,194
1960_02_28,194
1960_04_24,194
1960_05_25,194
1960_06_20,194
1960_09_04,194
1961_03_10,194
1962_01_04,194
1962_04_01,194
1962_06_11,194
1962_08_25,194
1963_08_23,194
1963_09_19,194
1963_10_23,194
1963_11_10,194
1963_11_12,194
1963_11_15,194
1964_08_04,194
1964_09_06,194
1964_09_22,194
1965_01_12,194
1965_03_04,194
1965_08_01,194
1965_12_01,194
1966_09_12,194
1966_09_28,194
1966_12_20,194
1967_02_05,194
1967_04_16,194
1967_08_12,194
1968_04_20,194
1968_06_13,194
1968_10_01,194
1969_09_14,194
1970_04_06,194
1970_06_02,194
1970_08_10,194
1970_09_20,194
1956_02_02,193
1957_06_01,193
1958_03_04,193
1958_04_06,193
1958_12_24,193
1959_09_22,193
1959_12_05,193
1960_03_20,193
1960_11_25,193
1961_06_10,193
1962_02_11,193
1962_05_04,193
1962_06_12,193
1962_06_13,193
1962_10_15,193
1962_10_26,193
1962_12_18,193
1963_03_21,193
1963_04_02,193
1963_08_13,193
1963_09_03,193
1963_09_06,193
1964_01_24,193
1964_09_10,193
1965_08_28,193
1965_12_10,193
1966_03_16,193
1966_04_14,193
1966_06_01,193
1966_06_25,193
1966_07_06,193
1966_09_13,193
1967_04_12,193
1967_04_28,193
1967_09_28,193
1968_03_01,193
1968_09_08,193
1969_06_05,193
1969_09_06,193
1972_04_24,193
1972_09_15,193
1950_10_10,192
1953_02_02,192
1956_05_05,192
1956_06_26,192
1958_01_12,192
1958_03_23,192
1958_09_15,192
1960_06_02,192
1960_08_05,192
1960_08_15,192
1960_08_20,192
1961_06_15,192
1961_08_10,192
1961_11_10,192
1962_05_11,192
1962_07_01,192
1962_07_15,192
1962_08_15,192
1962_09_08,192
1962_10_06,192
1962_10_28,192
1963_01_12,192
1963_02_01,192
1963_04_14,192
1963_05_02,192
1963_09_17,192
1963_09_28,192
1963_12_23,192
1964_06_18,192
1964_08_01,192
1964_09_21,192
1964_11_12,192
1964_12_02,192
1965_04_15,192
1965_09_18,192
1965_09_28,192
1966_05_01,192
1966_05_03,192
1966_06_04,192
1966_08_04,192
1966_09_03,192
1967_06_25,192
1967_09_25,192
1968_04_12,192
1968_05_07,192
1968_11_25,192
1968_12_05,192
1970_03_17,192
1970_03_25,192
1970_09_29,192
1954_12_24,191
1958_03_02,191
1958_08_30,191
1960_01_05,191
1960_04_02,191
1960_04_12,191
1960_04_14,191
1960_05_10,191
1960_12_23,191
1961_01_02,191
1962_05_25,191
1962_06_20,191
1963_02_09,191
1963_02_10,191
1963_03_05,191
1963_05_12,191
1963_05_23,191
1963_06_23,191
1964_01_10,191
1964_08_18,191
1965_08_23,191
1965_12_23,191
1966_01_06,191
1966_06_02,191
1966_08_12,191
1966_10_02,191
1967_05_01,191
1967_12_28,191
1968_02_05,191
1968_03_23,191
1968_03_25,191
1969_04_10,191
1969_11_29,191
1969_12_23,191
1970_03_07,191
1970_04_16,191
1970_04_24,191
1970_06_07,191
1970_09_11,191
1971_03_23,191
1949_06_06,190
1953_03_15,190
1958_08_01,190
1958_08_04,190
1958_08_10,190
1958_09_21,190
1959_09_25,190
1959_12_24,190
1960_06_04,190
1960_09_10,190
1961_06_05,190
1962_02_01,190
1962_04_27,190
1962_05_02,190
1962_09_05,190
1962_09_06,190
1962_11_10,190
1963_08_02,190
1963_08_20,190
1963_11_23,190
1963_12_20,190
1964_01_06,190
1964_07_15,190
1964_08_12,190
1964_12_20,190
1965_01_25,190
1965_02_03,190
1965_03_01,190
1965_09_05,190
1966_03_07,190
1966_05_04,190
1966_06_26,190
1966_08_01,190
1966_10_01,190
1966_12_15,190
1967_12_10,190
1968_02_15,190
1968_03_28,190
1968_09_29,190
